timestep_tau fe_error be_error me_error rk_error
0.001 0.000999944 0.000999864 7.87E-08	3.89E-13
0.1 0.100384392	0.09959624 0.000801023	2.24E-08
0.2 0.201556604	0.198404033 0.003261897	3.65E-07
0.3 0.302911158	0.295832443 0.00745768	1.88E-06
0.4 0.40626361	0.393654279 0.013527563	6.07E-06
0.5 0.509797753	0.490096929 0.021526158	1.51E-05
0.6 0.616582775	0.5881002 0.031699441	3.21E-05
0.7 0.713521002	0.675225242 0.043430269	5.98E-05
0.8 0.818572973	0.76855987 0.057793592	0.000104042
0.9 0.92440333	0.861113989 0.074533306	0.000169849
1 1.03925421	0.960496388 0.094526105	0.000265926

